# Eb_MeV	TS_src	TS_hardening	BPL_loglike	Index1	Index2
100000.0	20730.705110404408	-3223.6774869770743	-720656.546298951	-1.9396546125885128	-4.999999831830094
105706.67539423544	9.774235089775175	-22977.139868458034	-730533.2774896915	3.5614916388888815	-4.999999924108213
111739.01222902238	20039.21325415885	-3859.289493045537	-720974.3523019853	-1.8934744174532177	-4.999995187045098
118115.59494565774	-14.317210987210274	-23001.228294499917	-730545.3217027124	3.7246249083202105	-4.999993765090053
124856.0685391764	204.45133592304774	-22791.535582096083	-730440.4753465105	0.3953727823275246	-4.076469337992167
131981.19908071132	13.589379302226007	-22973.370399872074	-730531.3927553985	1.7120102277960791	-4.999774961385961
139512.93769366687	18542.128546926193	-5251.01288430416	-721670.2139976146	-1.8039213468267077	-5.0
147474.4881808064	18144.003209115937	-5623.445853868034	-721856.4304823965	-1.7818469915153	-5.0
155890.37851059512	-57.660320959519595	-23044.56808053376	-730566.9915957294	3.428660997260975	-4.999996297524946
164786.53638303975	17335.647565501975	-6384.485125556821	-722236.9501182409	-1.7387308545882467	-5.0
174190.36910782318	16919.962555790087	-6776.458790569566	-722432.9369507473	-1.717212609870118	-4.999999662841502
184130.84804082723	16495.802665146533	-7178.470388094196	-722633.9427495096	-1.6960944368523982	-5.0
194638.59783917016	16066.571759708691	-7585.89156348398	-722837.6533372045	-1.6751273539529188	-5.0
205745.99080974254	15636.954910007073	-7994.452045785263	-723041.9335783551	-1.6541201631067914	-4.998526635646071
217487.24664190804	15198.366799900541	-8411.468790075276	-723250.4419505001	-1.633410627013785	-4.999998281180087
229898.53783162197	14750.886418736773	-8838.379699865356	-723463.8974053952	-1.6128001001369583	-4.999997606818444
243018.1011217662	-155.04261849587783	-23141.942208703607	-730615.6786598143	3.4380378792028576	-4.999999449245182
256886.3553020197	13849.759081898723	-9700.303649039939	-723894.8593799825	-1.5720008667031458	-4.999999854605572
271546.0257311883	13393.556553015951	-10137.628510368057	-724113.5218106465	-1.5517925547882294	-5.0
287042.2759656143	12927.942231033929	-10584.895144071663	-724337.1551274983	-1.531688453344342	-5.0
303422.8468991968	12413.359422112582	-11867.891682803165	-724978.6533968641	-1.5108211721223208	-4.989167008416961
320738.2038436819	-231.88023595092818	-23218.78220317117	-730654.0986570481	2.52319606555648	-4.999950977403026
339041.692002342	11513.66180397151	-12304.465706897667	-725196.9404089113	-1.4711928188250392	-4.893200045469111
358389.7008160392	11054.776781857945	-12388.226500477176	-725238.8208057011	-1.4521600580596776	-4.999999946186619
378841.8376879814	10568.49762870185	-12857.603625674034	-725473.5093682995	-1.432454760591166	-5.0
400461.1116223908	-235.8955788454041	-23223.43017914309	-730656.422645034	4.995935337816215	-4.999163406103574
423314.1273428275	9588.97698455071	-13859.380264589796	-725974.3976877574	-1.3926172909175403	-4.882389610150028
447471.2904882222	9125.022798830643	-14246.970489111962	-726168.1928000185	-1.3733062965281007	-4.99999604665341
473007.0245187814	-345.43317237054	-23354.22309393366	-730721.8191024293	4.1043187388477325	-4.429529481136005
499999.99999999994	-305.29627947486006	-23292.17532097199	-730690.7952159485	5.0	-5.0
